IATA code,ICAO code
Aerospatiale (Sud Aviation) Se.210 Caravelle,CRV
Aerospatiale/Alenia ATR 42-300,AT4
Aerospatiale/Alenia ATR 42-500,AT5
Aerospatiale/Alenia ATR 42-600,ATR
Aerospatiale/Alenia ATR 72,AT7
Airbus A300,AB3
Airbus A300-600,ABY
Airbus A310,310
Airbus A318,318
Airbus A319,319
Airbus A320,320
Airbus A321,321
Airbus A330,330
Airbus A330-200,332
Airbus A330-300,333
Airbus A340,340
Airbus A340-200,342
Airbus A340-300,343
Airbus A340-500,345
Airbus A340-600,346
Airbus A350,350
Airbus A350-1000,351
Airbus A350-900,359
Airbus A380,380
Airbus A380-800,388
Antonov An-148,A81
Antonov An-158,A58
Antonov AN-72,AN7
Avro RJ100,AR1
Avro RJ70,AR7
Avro RJ85,AR8
BAe 146,146
BAe 146-100,141
BAe 146-200,142
BAe 146-300,143
Beechcraft 1900,BEH
Beechcraft Baron,\N
Bell 212,BH2
Boeing 707,703
Boeing 717,717
Boeing 720B,B72
Boeing 727,727
Boeing 727-100,721
Boeing 727-200,722
Boeing 737,737
Boeing 737 MAX 8,7M8
Boeing 737-200,732
Boeing 737-300,733
Boeing 737-400,734
Boeing 737-500,735
Boeing 737-600,736
Boeing 737-700,73G
Boeing 737-800,738
Boeing 737-900,739
Boeing 747,747
Boeing 747-100,741
Boeing 747-200,742
Boeing 747-300,743
Boeing 747-400,744
Boeing 747-8,748
Boeing 747SP,74L
Boeing 747SR,74R
Boeing 757,757
Boeing 757-200,752
Boeing 757-300,753
Boeing 767,767
Boeing 767-200,762
Boeing 767-300,763
Boeing 767-400,764
Boeing 777,777
Boeing 777-200,772
Boeing 777-200LR,77L
Boeing 777-300,773
Boeing 777-300ER,77W
Boeing 787,787
Boeing 787-10,78J
Boeing 787-8,788
Boeing 787-9,789
Bombardier CS100,CS1
Bombardier CS300,CS3
Bombardier Global Express,CCX
British Aerospace ATP,ATP
British Aerospace Jetstream 31,J31
British Aerospace Jetstream 32,J32
British Aerospace Jetstream 41,J41
Canadair CL-44,CL4
Canadair Regional Jet 100,CR1
Canadair Regional Jet 1000,CRK
Canadair Regional Jet 200,CR2
Canadair Regional Jet 700,CR7
Canadair Regional Jet 900,CR9
Cessna 172,CN1
Cessna 182 Skylane,CN1
Cessna 208 Caravan,CN1
Cessna 210 Centurion,CN1
Cessna Citation CJ3,CNJ
Cessna Citation CJ4,CNJ
Cessna Citation Excel,CNJ
Cessna Citation I,CNJ
Cessna Citation II,CNJ
Cessna Citation Mustang,CNJ
Cessna Citation Sovereign,CNJ
Cessna Citation X,CNJ
COMAC C-919,\N
Concorde,SSC
Dassault Falcon 2000,D20
Dassault Falcon 7X,DF7
De Havilland Canada DHC-4 Caribou,DHC
De Havilland Canada DHC-6 Twin Otter,DHT
De Havilland Canada DHC-7 Dash 7,DH7
De Havilland Canada DHC-8-300 Dash 8,DH3
De Havilland Canada DHC-8-400 Dash 8Q,DH4
Douglas DC-10,D10
Douglas DC-3,D3F
Douglas DC-6,D6F
Douglas DC-9-10,D91
Douglas DC-9-30,D93
Douglas DC-9-40,D94
Douglas DC-9-50,D95
Embraer 170,E70
Embraer 190,E90
Embraer 195,E95
Embraer EMB 110 Bandeirante,EMB
Embraer EMB 120 Brasilia,EM2
Embraer Legacy 600,ER3
Embraer Phenom 100,EP1
Embraer Phenom 300,EP3
Embraer RJ135,ER3
Embraer RJ140,ERD
Embraer RJ145,ER4
Fairchild Dornier 328JET,FRJ
Fairchild Dornier Do.228,D28
Fairchild Dornier Do.328,D38
Fokker 100,100
Fokker 50,F50
Fokker 70,F70
Fokker F27 Friendship,F27
Gulfstream IV,GJ4
Gulfstream V,GJ5
Harbin Yunshuji Y12,YN2
Hawker Siddeley HS 748,HS7
Ilyushin IL18,IL8
Ilyushin IL62,IL6
Ilyushin IL76,IL7
Ilyushin IL86,ILW
Ilyushin IL96,I93
Learjet 35,LRJ
Learjet 60,LRJ
Lockheed L-188 Electra,LOE
McDonnell Douglas MD-11,M11
McDonnell Douglas MD-81,M81
McDonnell Douglas MD-82,M82
McDonnell Douglas MD-83,M83
McDonnell Douglas MD-87,M87
McDonnell Douglas MD-88,M88
McDonnell Douglas MD-90,M90
NAMC YS-11,YS1
Partenavia P.68,PN6
Pilatus Britten-Norman BN-2A Mk III Trislander,BNT
Pilatus Britten-Norman BN-2A/B Islander,BNI
Pilatus PC-12,PL2
Pilatus PC-6 Turbo Porter,PL6
Piper PA-31 Navajo,PA2
Saab 2000,S20
Saab SF340A/B,SF3
Shorts SD.360,SH6
Sikorsky S-61,S61
Sikorsky S-76,S76
Sukhoi Superjet 100-95,SU9
Tupolev Tu-134,TU3
Tupolev Tu-144,\N
Tupolev Tu-154,TU5
Tupolev Tu-204,T20
Yakovlev Yak-40,YK4
